Name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Vinicius Junior,31,162,,,,,,,,
Virgil van Dijk,43,10,2,24,,165=,,,,
Wahbi Khazri,,,,,,,,,,
Walter Kannemann,,,,,,,,,,
Wayne Rooney,,,,,,131,60,43,28,31
Wesley Fofana,,,,,,,,,,
Wesley Sneijder,,,,,,,,,,95
Weston McKennie,,,,,,,,,,
Weverton,158,,,,,,,,,
Wilfried Bony,,,,,,,,67,,
Wilfried Zaha,,,,153,,,,,,
William Carvalho,,,,,,,,,,
Willian,,,131,91,117,129,52,,110,26
Wilmar Barrios,,,,,,,,,,
Wissam Ben Yedder,,100,153,,,,,,,
Wojciech Szczesny,,224,123,,,,,,,
Wout Weghorst,,,,,,,,,,
Xabi Alonso,,,,,,,49,21,37,
Xavi,,,,,,,,50,8,3
Xherdan Shaqiri,,,,,,,,,,
Yacine Brahimi,,,,,,,64,61,,
Yann Sommer,113,,161=,,,,,,,
Yannick Carrasco,123=,,,,,77,,,,
Yassine Bounou,,,,,,,,,,
Yaya Toure,,,,,,,29,18,19,9
